2023-01-10 14:37:08  |word.json|  Input  |  passion  |  热情  |
2023-01-10 14:37:49  |word.json|  Input  |  occupy  |  占用  |
2023-01-10 14:37:50  |word.json|  Input  |  occupy  |  占领  |
2023-01-10 14:37:50  |word.json|  Input  |  occupy  |  侵占  |
2023-01-10 14:38:40  |word.json|  Input  |  overcome  |  克服  |
2023-01-10 14:38:41  |word.json|  Input  |  overcome  |  解决  |
2023-01-10 14:38:41  |word.json|  Input  |  overcome  |  战胜  |
2023-01-10 14:38:42  |word.json|  Input  |  overcome  |  受到...的极大影响  |
2023-01-10 14:39:01  |word.json|  Input  |  noticeable  |  显著的  |
2023-01-10 14:39:01  |word.json|  Input  |  noticeable  |  显而易见的  |
2023-01-10 14:39:16  |word.json|  Input  |  hold  |  寄托  |
2023-01-10 14:39:29  |word.json|  Input  |  merely  |  仅仅  |
2023-01-10 14:39:29  |word.json|  Input  |  merely  |  只不过  |
2023-01-10 14:40:02  |word.json|  Input  |  rarely  |  很少  |
2023-01-10 14:40:03  |word.json|  Input  |  rarely  |  罕有  |
2023-01-10 14:40:03  |word.json|  Input  |  rarely  |  不长  |
2023-01-10 14:40:18  |word.json|  Input  |  permanently  |  永久的  |
2023-01-10 14:40:54  |word.json|  Input  |  pursue  |  追求  |
2023-01-10 14:40:54  |word.json|  Input  |  pursue  |  追逐  |
2023-01-10 14:40:55  |word.json|  Input  |  pursue  |  追赶  |
2023-01-10 14:40:55  |word.json|  Input  |  pursue  |  跟踪  |
2023-01-10 14:42:02  |word.json|  Input  |  persuade  |  说服  |
2023-01-10 14:42:05  |word.json|  Input  |  persuade  |  劝说  |
2023-01-10 14:42:06  |word.json|  Input  |  persuade  |  使信服  |
2023-01-10 14:42:06  |word.json|  Input  |  persuade  |  使相信  |
2023-01-10 14:42:35  |word.json|  Input  |  sweat  |  汗  |
2023-01-10 14:42:35  |word.json|  Input  |  sweat  |  出汗  |
2023-01-10 14:42:57  |word.json|  Input  |  slightly  |  稍微  |
2023-01-10 14:42:57  |word.json|  Input  |  slightly  |  略微  |
2023-01-10 14:45:49  |word.json|  Input  |  eager  |  热情地  |
2023-01-10 14:45:49  |word.json|  Input  |  eager  |  渴望地  |
2023-01-11 14:42:02  |word.json|  Input  |  chain  |  链条  |
2023-01-11 14:42:55  |word.json|  Input  |  the other day  |  上回  |
2023-01-11 14:42:56  |word.json|  Input  |  the other day  |  几天前  |
2023-01-11 14:43:15  |word.json|  Input  |  battery  |  电池  |
2023-01-11 14:43:38  |word.json|  Input  |  hold  |  保有  |
2023-01-11 14:43:38  |word.json|  Input  |  hold  |  存贮  |
2023-01-11 14:44:34  |word.json|  Input  |  complex  |  复杂的  |
2023-01-11 14:44:37  |word.json|  Input  |  complex  |  难懂的  |
2023-01-11 14:44:37  |word.json|  Input  |  complex  |  费解的  |
2023-01-11 14:44:54  |word.json|  Input  |  vital  |  必不可少的  |
2023-01-11 14:45:20  |word.json|  Input  |  accurate  |  正确无误的  |
2023-01-11 14:45:21  |word.json|  Input  |  accurate  |  准确的  |
2023-01-11 14:45:21  |word.json|  Input  |  accurate  |  精确的  |
2023-01-11 14:45:50  |word.json|  Input  |  jump lead  |  跨接引线  |
2023-01-11 14:46:41  |word.json|  Input  |  stubbornly  |  顽固地  |
2023-01-11 14:46:44  |word.json|  Input  |  stubbornly  |  顽强  |
2023-01-11 14:46:44  |word.json|  Input  |  stubbornly  |  傲然地  |
2023-01-11 14:47:32  |word.json|  Input  |  program  |  设定程序  |
2023-01-11 14:47:53  |word.json|  Input  |  attempt  |  尝试  |
2023-01-11 14:47:53  |word.json|  Input  |  attempt  |  企图  |
2023-01-11 14:48:20  |word.json|  Input  |  come out of  |  出自  |
2023-01-11 14:48:20  |word.json|  Input  |  come out of  |  出来  |
2023-01-11 14:48:57  |word.json|  Input  |  neighborhood  |  地区  |
2023-01-11 14:49:07  |word.json|  Input  |  go over  |  重新查看  |
2023-01-11 14:49:23  |word.json|  Input  |  whisper  |  低语  |
2023-01-11 14:49:29  |word.json|  Input  |  recall  |  回想  |
